id,state,total_pop,groundwater_per_day,gal_per_capita,county
12049,FL,27502,1060000,38.54,Hardee County
12051,FL,39119,1850000,47.29,Hendry County
12053,FL,178439,13760000,77.11,Hernando County
12055,FL,99491,5010000,50.36,Highlands County
12057,FL,1349050,72910000,54.05,Hillsborough County
12059,FL,19324,610000,31.57,Holmes County
12061,FL,147918,11080000,74.91,Indian River County
12063,FL,48599,1330000,27.37,Jackson County
12065,FL,14081,420000,29.83,Jefferson County
12067,FL,8663,70000,8.08,Lafayette County
12069,FL,325875,36320000,111.45,Lake County
12071,FL,701982,40990000,58.39,Lee County
12073,FL,286272,15820000,55.26,Leon County
12075,FL,39832,870000,21.84,Levy County
12077,FL,8331,350000,42.01,Liberty County
12079,FL,18408,760000,41.29,Madison County
12081,FL,363369,24570000,67.62,Manatee County
12083,FL,343254,18210000,53.05,Marion County
12085,FL,156283,10160000,65.01,Martin County
12086,FL,2693117,216740000,80.48,Miami-Dade County
12087,FL,77482,12190000,157.33,Monroe County
12089,FL,78444,4750000,60.55,Nassau County
12091,FL,198664,13220000,66.54,Okaloosa County
12093,FL,39469,1720000,43.58,Okeechobee County
12095,FL,1288126,109840000,85.27,Orange County
12097,FL,323993,29790000,91.95,Osceola County
12099,FL,1422789,168300000,118.29,Palm Beach County
12101,FL,497909,30730000,61.72,Pasco County
12103,FL,949827,50580000,53.25,Pinellas County
12105,FL,650092,47890000,73.67,Polk County
12107,FL,72023,960000,13.33,Putnam County
12109,FL,226640,9170000,40.46,St. Johns County
12111,FL,298563,20940000,70.14,St. Lucie County
12113,FL,167040,11490000,68.79,Santa Rosa County
12115,FL,405549,22030000,54.32,Sarasota County
12117,FL,449144,38530000,85.79,Seminole County
12119,FL,118891,19260000,162.0,Sumter County
12121,FL,43760,470000,10.74,Suwannee County
12123,FL,22493,1100000,48.9,Taylor County
12125,FL,15234,70000,4.59,Union County
12127,FL,517886,35880000,69.28,Volusia County
12129,FL,31535,1340000,42.49,Wakulla County
12131,FL,63508,8050000,126.76,Walton County
12133,FL,24686,490000,19.85,Washington County
13001,GA,18454,530000,28.72,Appling County
13003,GA,8398,240000,28.58,Atkinson County
13005,GA,11299,700000,61.95,Bacon County
13007,GA,3180,120000,37.74,Baker County
13009,GA,45458,1790000,39.38,Baldwin County
13011,GA,18495,490000,26.49,Banks County
13013,GA,75370,4059999,53.87,Barrow County
13015,GA,102747,6400000,62.29,Bartow County
13017,GA,17403,1230000,70.68,Ben Hill County
13019,GA,18963,550000,29.0,Berrien County
13021,GA,153721,14300000,93.03,Bibb County
13023,GA,12243,90000,7.35,Bleckley County
13025,GA,18455,170000,9.21,Brantley County
13027,GA,15658,580000,37.04,Brooks County
13029,GA,35137,2330000,66.31,Bryan County
13031,GA,72651,3010000,41.43,Bulloch County
13033,GA,22745,500000,21.98,Burke County
13035,GA,23593,1720000,72.9,Butts County
13037,GA,6479,220000,33.96,Calhoun County
13039,GA,52102,2610000,50.09,Camden County
13043,GA,10886,320000,29.4,Candler County
13045,GA,114545,6420000,56.05,Carroll County
13047,GA,66050,4870000,73.73,Catoosa County
13049,GA,12965,590000,45.51,Charlton County
13051,GA,286955,15830000,55.17,Chatham County
13053,GA,11368,290000,25.51,Chattahoochee County
13055,GA,24921,1410000,56.58,Chattooga County
13057,GA,235900,14930000,63.29,Cherokee County
13059,GA,123912,6630000,53.51,Clarke County
13061,GA,3141,200000,63.67,Clay County
13063,GA,273955,20590000,75.16,Clayton County
13065,GA,6893,260000,37.72,Clinch County
13067,GA,741334,34090000,45.98,Cobb County
13069,GA,43108,2000000,46.4,Coffee County
13071,GA,45843,1510000,32.94,Colquitt County
13073,GA,144052,10430000,72.4,Columbia County
13075,GA,17124,880000,51.39,Cook County
13077,GA,138427,6520000,47.1,Coweta County
13079,GA,12388,300000,24.22,Crawford County
13081,GA,22881,1080000,47.2,Crisp County
13083,GA,16264,1170000,71.94,Dade County
13085,GA,23311,1020000,43.75,Dawson County
13087,GA,27174,1900000,69.92,Decatur County
13089,GA,734871,43110000,58.66,DeKalb County
13091,GA,20881,750000,35.92,Dodge County
13093,GA,14035,740000,52.73,Dooly County
13095,GA,91332,6210000,67.99,Dougherty County
13097,GA,140733,6520000,46.33,Douglas County
13099,GA,10575,760000,71.87,Early County
13101,GA,4040,50000,12.38,Echols County
13103,GA,57106,3690000,64.62,Effingham County
13105,GA,19364,680000,35.12,Elbert County
13107,GA,22708,1070000,47.12,Emanuel County
13109,GA,10787,370000,34.3,Evans County
13111,GA,24303,990000,40.74,Fannin County
13113,GA,110714,7000000,63.23,Fayette County
13115,GA,96503,6230000,64.56,Floyd County
13117,GA,212438,12340000,58.09,Forsyth County
13119,GA,22311,900000,40.34,Franklin County
